"filename", "language", "JSON", "CSS", "PHP", "Markdown", "JavaScript", "XML", "HTML", "comment", "blank", "total"
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/Notification.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/Payment.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 2, 12, 43
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/Review.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 14, 33
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/ReviewReply.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 7, 28
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/SavedJob.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/User.php", "PHP", 0, 0, 34, 0, 0, 0, 0, 15, 11, 60
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Models/job.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 15, 47
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Providers/AppServiceProvider.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 7, 6, 27
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Providers/AuthServiceProvider.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 11, 5, 27
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Providers/BroadcastServiceProvider.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 3, 5, 20
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Providers/EventServiceProvider.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 12, 6, 39
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Providers/RouteServiceProvider.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 10, 7, 41
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/bootstrap/app.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 30, 9, 56
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/composer.json", "JSON", 70, 0, 0, 0, 0, 0, 0, 0, 1, 71
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/composer.lock", "JSON", 9025, 0, 0, 0, 0, 0, 0, 0, 1, 9026
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/app.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 131, 31, 189
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/auth.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 74, 14, 116
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/broadcasting.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 23, 13, 72
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/cache.php", "PHP", 0, 0, 59, 0, 0, 0, 0, 34, 19, 112
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/cors.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 29, 3, 35
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/database.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 47, 22, 152
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/filesystems.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 32, 13, 77
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/hashing.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 32, 9, 55
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/logging.php", "PHP", 0, 0, 79, 0, 0, 0, 0, 34, 19, 132
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/mail.php", "PHP", 0, 0, 61, 0, 0, 0, 0, 54, 20, 135
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/queue.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 42, 17, 110
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/sanctum.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 53, 14, 84
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/services.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 11, 7, 35
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/session.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 157, 35, 215
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/config/view.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 20, 7, 37
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/factories/CategoryFactory.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 8, 4, 24
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/factories/JobTypeFactory.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 8, 4, 24
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/factories/UserFactory.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 14, 6, 45
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 6, 4, 36
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 6, 4, 33
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 6, 4, 34
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_10_052826_alter_users_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_27_063648_create_categories_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_27_063802_create_job_types_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_27_063832_create_jobs_table.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 6, 5, 44
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_27_111827_alter_jobs_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 6, 8, 35
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2024_12_28_042002_alter_jobs_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 6, 32
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_01_22_123754_create_job_applications_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 6, 4, 32
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_03_03_035534_create_saved_jobs_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 3, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_03_08_055235_update_role_column_in_users_table.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_03_19_033118_add_is_active_to_users_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 3, 5, 27
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_03_130455_create_cvs_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 7, 5, 37
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_04_020119_add_cv_file_path_to_cvs_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_04_020350_add_cv_file_path_to_job_applications_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_07_021215_add_fields_to_cvs_table.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_08_122454_create_notifications_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_12_080357_add_pan_and_is_approved_to_users_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 3, 5, 28
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_12_145854_add_featured_request_to_jobs_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 3, 5, 27
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_14_022201_create_payments_table.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_17_141831_add_featured_until_to_jobs_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 3, 7, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_21_090723_remove_tidx_from_payments_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 3, 6, 28
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_21_125540_create_reviews_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 6, 4, 33
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_23_085853_add_reply_to_reviews_table.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 7, 4, 29
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/migrations/2025_04_23_090454_create_review_replies_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 6, 5, 32
"/Applications/XAMPP/xamppfiles/htdocs/job_portal/database/seeders/DatabaseSeeder.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 9, 7, 27
